year,month,state,rto,vehicle_class,fuel,value,unit,note
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,BUS,DIESEL,2,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,GOODS CARRIER,DIESEL,23,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,GOODS CARRIER,PETROL,1,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),1,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,387,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL/ETHANOL,83,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,M-CYCLE/SCOOTER,PURE EV,2,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MAXI CAB,DIESEL,1,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOPED,PETROL,3,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAB,DIESEL,1,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAB,PETROL,9,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAB,PETROL/HYBRID,6,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAR,DIESEL,11,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAR,PETROL,123,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAR,PETROL/ETHANOL,22,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,12,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAR,PURE EV,3,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CYCLE/SCOOTER-USED FOR HIRE,PETROL,15,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,OMNI BUS,DIESEL,1,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,1,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,3,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,ADAPTED VEHICLE,PETROL,80,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,ADAPTED VEHICLE,PETROL/ETHANOL,1,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,ADAPTED VEHICLE,STRONG HYBRID EV,1,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,1479,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,AMBULANCE,DIESEL,37,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,AMBULANCE,PETROL,16,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,61,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,BUS,CNG ONLY,1,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,BUS,DIESEL,122,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,245,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,CRANE MOUNTED VEHICLE,DIESEL,7,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,E-RICKSHAW WITH CART (G),ELECTRIC(BOV),16,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,E-RICKSHAW WITH CART (G),PURE EV,1,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,E-RICKSHAW(P),ELECTRIC(BOV),3,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,E-RICKSHAW(P),PURE EV,2,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,DIESEL,49,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,EXCAVATOR (NT),DIESEL,2,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,FIRE TENDERS,DIESEL,3,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,FORK LIFT,DIESEL,7,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,GOODS CARRIER,CNG ONLY,23,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,GOODS CARRIER,DIESEL,2257,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,GOODS CARRIER,ELECTRIC(BOV),5,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,GOODS CARRIER,PETROL,48,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,GOODS CARRIER,PETROL/CNG,4,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,GOODS CARRIER,PURE EV,8,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,HARVESTER,DIESEL,29,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER,CNG ONLY,109,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),479,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER,ETHANOL,2,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,47683,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL/ETHANOL,3737,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER,PURE EV,3434,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,ELECTRIC(BOV),1,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,PETROL,8,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,PETROL/ETHANOL,2,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MAXI CAB,CNG ONLY,11,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MAXI CAB,DIESEL,52,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MAXI CAB,PETROL,10,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MAXI CAB,PETROL/ETHANOL,1,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MAXI CAB,STRONG HYBRID EV,1,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOPED,ELECTRIC(BOV),3,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOPED,PETROL,724,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOPED,PETROL/ETHANOL,87,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOTOR CAB,DIESEL,77,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOTOR CAB,PETROL,144,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOTOR CAB,PETROL/CNG,167,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOTOR CAB,PETROL/ETHANOL,7,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOTOR CAB,PETROL/HYBRID,38,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOTOR CAB,STRONG HYBRID EV,2,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOTOR CAR,DIESEL,1482,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOTOR CAR,DIESEL/HYBRID,11,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOTOR CAR,ELECTRIC(BOV),80,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOTOR CAR,PETROL,2955,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOTOR CAR,PETROL/CNG,434,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOTOR CAR,PETROL/ETHANOL,833,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,417,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOTOR CAR,PURE EV,322,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOTOR CAR,STRONG HYBRID EV,168,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOTOR CYCLE/SCOOTER-USED FOR HIRE,PETROL,11,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),CNG ONLY,3,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),ELECTRIC(BOV),9,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),PETROL,1691,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),PETROL/ETHANOL,212,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),PURE EV,75,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,OMNI BUS,CNG ONLY,3,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,OMNI BUS,DIESEL,171,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,OMNI BUS (PRIVATE USE),CNG ONLY,2,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,OMNI BUS (PRIVATE USE),DIESEL,22,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,OMNI BUS (PRIVATE USE),PETROL,5,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,OMNI BUS (PRIVATE USE),PETROL/ETHANOL,1,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,OMNI BUS (PRIVATE USE),STRONG HYBRID EV,9,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,PRIVATE SERVICE VEHICLE,DIESEL,4,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,ROAD ROLLER,DIESEL,3,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,THREE WHEELER (GOODS),CNG ONLY,9,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,508,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,THREE WHEELER (GOODS),ELECTRIC(BOV),126,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,THREE WHEELER (GOODS),PURE EV,9,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),CNG ONLY,542,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,1806,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),ELECTRIC(BOV),111,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),PURE EV,193,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,TRACTOR (COMMERCIAL),DIESEL,515,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,TRAILER (COMMERCIAL),NOT APPLICABLE,1,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,VEHICLE FITTED WITH RIG,DIESEL,1,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,1,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,AMBULANCE,DIESEL,3,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,BUS,DIESEL,163,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,CAMPER VAN / TRAILER (PRIVATE USE),DIESEL,1,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,1,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),DIESEL,53,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,DUMPER,DIESEL,51,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,EARTH MOVING EQUIPMENT,DIESEL,1,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,EXCAVATOR (COMMERCIAL),DIESEL,5,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,EXCAVATOR (NT),DIESEL,3,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,GOODS CARRIER,DIESEL,154,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,GOODS CARRIER,PETROL,18,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),3,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,1168,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL/ETHANOL,226,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER,PURE EV,5,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,PETROL,1,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,MAXI CAB,PETROL,2,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,MOTOR CAB,DIESEL,10,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,MOTOR CAB,PETROL,2,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,MOTOR CAB,PETROL/HYBRID,2,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,MOTOR CAR,DIESEL,431,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,MOTOR CAR,DIESEL/HYBRID,1,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,MOTOR CAR,PETROL,715,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,MOTOR CAR,PETROL/CNG,1,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,MOTOR CAR,PETROL/ETHANOL,95,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,115,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,MOTOR CAR,PURE EV,3,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,MOTOR CAR,STRONG HYBRID EV,10,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,OMNI BUS (PRIVATE USE),DIESEL,2,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),DIESEL,1,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,8,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,TRACTOR (COMMERCIAL),DIESEL,45,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,TRACTOR-TROLLEY(COMMERCIAL),NOT APPLICABLE,6,value in Absolute Number,
2025,April,Arunachal Pradesh,All Vahan Running Office,TRAILER (COMMERCIAL),NOT APPLICABLE,1,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,57,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,AMBULANCE,DIESEL,13,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,AMBULANCE,PETROL,3,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,ARMOURED/SPECIALISED VEHICLE,DIESEL,1,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,5,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,BUS,DIESEL,143,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,CAMPER VAN / TRAILER,DIESEL,3,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,CASH VAN,DIESEL,2,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,49,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,CRANE MOUNTED VEHICLE,DIESEL,12,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,DUMPER,DIESEL,64,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,DUMPER,PETROL,1,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,E-RICKSHAW WITH CART (G),ELECTRIC(BOV),242,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,E-RICKSHAW WITH CART (G),PURE EV,37,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,E-RICKSHAW(P),ELECTRIC(BOV),2433,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,E-RICKSHAW(P),NOT APPLICABLE,2,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,E-RICKSHAW(P),PURE EV,1121,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,EARTH MOVING EQUIPMENT,DIESEL,4,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,EXCAVATOR (COMMERCIAL),DIESEL,1,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,EXCAVATOR (NT),DIESEL,10,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,FORK LIFT,DIESEL,1,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,GOODS CARRIER,CNG ONLY,2,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,GOODS CARRIER,DIESEL,740,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,GOODS CARRIER,ELECTRIC(BOV),2,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,GOODS CARRIER,PETROL,355,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,GOODS CARRIER,PETROL/CNG,1,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,GOODS CARRIER,PETROL/ETHANOL,16,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,GOODS CARRIER,PURE EV,2,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),37,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,M-CYCLE/SCOOTER,ETHANOL,1,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,28455,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL/ETHANOL,4495,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,M-CYCLE/SCOOTER,PURE EV,243,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,PETROL,3,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,MAXI CAB,CNG ONLY,10,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,MAXI CAB,DIESEL,16,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,MAXI CAB,PETROL,57,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,MAXI CAB,PETROL/ETHANOL,2,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,MOPED,PETROL,275,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,MOPED,PETROL/ETHANOL,10,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,MOTOR CAB,DIESEL,28,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,MOTOR CAB,PETROL,97,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,MOTOR CAB,PETROL/CNG,8,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,MOTOR CAB,PETROL/ETHANOL,2,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,MOTOR CAB,PETROL/HYBRID,9,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,MOTOR CAR,DIESEL,657,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,MOTOR CAR,DIESEL/HYBRID,3,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,MOTOR CAR,ELECTRIC(BOV),16,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,MOTOR CAR,PETROL,3431,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,MOTOR CAR,PETROL/CNG,20,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,MOTOR CAR,PETROL/ETHANOL,698,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,530,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,MOTOR CAR,PURE EV,16,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,MOTOR CAR,STRONG HYBRID EV,38,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),DIESEL,16,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),PETROL,1,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),PETROL/ETHANOL,1,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),STRONG HYBRID EV,3,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,RECOVERY VEHICLE,DIESEL,2,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,THREE WHEELER (GOODS),CNG ONLY,8,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,53,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,THREE WHEELER (GOODS),ELECTRIC(BOV),22,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,THREE WHEELER (GOODS),PURE EV,5,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,THREE WHEELER (PASSENGER),CNG ONLY,44,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,26,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,THREE WHEELER (PASSENGER),ELECTRIC(BOV),977,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,288,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,THREE WHEELER (PASSENGER),PURE EV,648,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,TRACTOR (COMMERCIAL),DIESEL,575,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,TRAILER (AGRICULTURAL),NOT APPLICABLE,5,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,TRAILER (COMMERCIAL),NOT APPLICABLE,21,value in Absolute Number,
2025,April,Assam,All Vahan Running Office,VEHICLE FITTED WITH RIG,DIESEL,2,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,ADAPTED VEHICLE,DIESEL,1,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,ADAPTED VEHICLE,PETROL,2,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,ADAPTED VEHICLE,PETROL/CNG,1,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,ADAPTED VEHICLE,PETROL/ETHANOL,1,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,1386,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,AMBULANCE,DIESEL,10,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,AMBULANCE,PETROL,43,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,66,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,BUS,CNG ONLY,101,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,BUS,DIESEL,180,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,119,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,DUMPER,DIESEL,10,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,E-RICKSHAW WITH CART (G),ELECTRIC(BOV),121,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,E-RICKSHAW WITH CART (G),PURE EV,45,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,E-RICKSHAW(P),ELECTRIC(BOV),3042,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,E-RICKSHAW(P),PURE EV,1151,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,EARTH MOVING EQUIPMENT,DIESEL,2,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,GOODS CARRIER,CNG ONLY,126,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,GOODS CARRIER,DIESEL,2268,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,GOODS CARRIER,ELECTRIC(BOV),30,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,GOODS CARRIER,PETROL,26,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,GOODS CARRIER,PETROL/CNG,6,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,GOODS CARRIER,PURE EV,7,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,HARVESTER,DIESEL,113,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,M-CYCLE/SCOOTER,CNG ONLY,173,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),215,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,M-CYCLE/SCOOTER,ETHANOL,9,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,100128,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL/ETHANOL,10064,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,M-CYCLE/SCOOTER,PURE EV,1067,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,ELECTRIC(BOV),1,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,PETROL,122,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,PETROL/ETHANOL,12,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,PURE EV,25,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,MAXI CAB,CNG ONLY,119,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,MAXI CAB,DIESEL,18,value in Absolute Number,
2025,April,Bihar,All Vahan Running Office,MAXI CAB,PETROL,43,value in Absolute Number,
